date,month,city,available bikes,season,weather condition,temperature (degree C),trips per bike,total bike trips,number of users,registered users (%),occasional_users (%),tot bike trip duration (min),day income (euros),customer satisfaction,new day subscriptions
2020-01-10,1,Paris,182,winter,cloudy,7.0,19,2715,2298,44.2,55.8,5404.1,2223.9,6.75,-7
2020-01-10,1,Milan,183,winter,clear,2.73,21,3740,2925,50.5,49.5,15963.4,6370.1,6.04,4
2020-01-10,1,Madrid,194,winter,cloudy,7.83,29,4340,3427,48.8,51.2,978.3,393.6,5.89,7
2020-01-10,1,Berlin,185,winter,cloudy,2.01,1,139,108,54.3,45.7,1710.3,669.4,6.78,4
2020-01-10,1,London,186,winter,cloudy,-5.53,1,139,96,52.0,48.0,3644.1,1443.3,5.51,-6
2020-01-11,1,Paris,183,winter,cloudy,4.93,29,4024,2929,50.0,50.0,16485.3,6593.3,7.23,-5
2020-01-11,1,Milan,186,winter,cloudy,10.84,23,3341,2584,52.1,47.9,67051.9,26540.5,5.87,7
2020-01-11,1,Madrid,190,winter,light rain,12.71,60,4060,3106,52.1,47.9,46222.1,18294.7,5.78,6
2020-01-11,1,Berlin,188,winter,light rain,0.42,3,263,217,48.9,51.1,6102.2,2454.6,6.23,-4
2020-01-11,1,London,188,winter,clear,-2.64,1,178,138,49.4,50.6,202.3,81.2,5.5,-4
2020-01-12,1,Paris,188,winter,cloudy,-4.18,10,1551,1245,51.2,48.8,15397.1,6122.2,4.91,6
2020-01-12,1,Milan,194,winter,light rain,11.56,43,2935,2586,49.1,50.9,83281.4,33455.0,6.46,-5
2020-01-12,1,Madrid,185,winter,light rain,16.81,43,2853,2367,45.8,54.2,7782.5,3178.8,6.55,5
2020-01-12,1,Berlin,197,winter,light rain,12.13,26,1852,1599,48.3,51.7,53628.5,21634.6,5.36,5
2020-01-12,1,London,184,winter,clear,2.69,11,2072,1504,53.5,46.5,41593.1,16343.5,6.3,7
2020-01-13,1,Paris,185,winter,heavy rain,11.3,26,746,609,52.3,47.7,19741.2,7807.2,6.62,5
2020-01-13,1,Milan,196,winter,light rain,2.35,5,344,285,50.1,49.9,3494.4,1397.3,6.7,3
2020-01-13,1,Madrid,183,winter,cloudy,1.25,8,1205,1046,49.6,50.4,18624.3,7464.3,5.33,3
2020-01-13,1,Berlin,191,winter,light rain,1.95,3,255,204,44.9,55.1,1197.4,491.1,6.91,5
2020-01-13,1,London,188,winter,light rain,3.12,1,66,56,46.3,53.7,2033.2,828.3,6.5,-5
2020-01-14,1,Paris,189,winter,cloudy,11.33,47,6817,5348,50.6,49.4,185108.3,73824.7,6.32,5
2020-01-14,1,Milan,189,winter,clear,10.31,18,3315,2767,51.8,48.2,94063.7,37277.7,6.38,2
2020-01-14,1,Madrid,186,winter,clear,11.17,30,5323,3740,49.6,50.4,142791.6,57223.3,5.78,9
2020-01-14,1,Berlin,188,winter,cloudy,5.01,21,3083,2416,49.5,50.5,19436.0,7792.4,6.9,6
2020-01-14,1,London,194,winter,light rain,5.42,14,989,755,52.5,47.5,23345.7,9223.0,6.86,9
2020-01-15,1,Paris,178,winter,heavy rain,0.46,7,209,143,49.6,50.4,3075.2,1232.8,5.64,3
2020-01-15,1,Milan,192,winter,cloudy,13.81,30,4350,4031,52.3,47.7,117901.8,46627.4,6.82,-2
2020-01-15,1,Madrid,187,winter,clear,11.75,21,3745,2982,47.2,52.8,43460.6,17631.3,7.23,3
2020-01-15,1,Berlin,193,winter,clear,1.18,12,2282,1761,47.0,53.0,27006.5,10965.3,5.91,4
2020-01-15,1,London,189,winter,clear,2.18,24,4331,3765,48.9,51.1,74275.3,29877.8,6.22,6
2020-01-16,1,Paris,195,winter,cloudy,8.43,21,3105,2471,53.2,46.8,19407.3,7639.0,6.04,7
2020-01-16,1,Milan,193,winter,light rain,10.09,38,2642,2056,46.7,53.3,24577.7,9994.1,6.01,5
2020-01-16,1,Madrid,194,winter,light rain,13.74,53,3674,3037,52.0,48.0,34893.6,13816.4,7.24,-4
2020-01-16,1,Berlin,193,winter,light rain,-3.46,1,67,44,50.9,49.1,2509.3,999.2,6.33,4
2020-01-16,1,London,188,winter,heavy rain,0.45,1,28,21,51.4,48.6,336.5,133.7,5.42,3
2020-01-17,1,Paris,186,winter,clear,6.96,26,4683,3527,46.9,53.1,162279.1,65906.3,6.11,6
2020-01-17,1,Milan,190,winter,cloudy,6.78,30,4353,3360,50.2,49.8,56939.3,22750.0,5.86,7
2020-01-17,1,Madrid,194,winter,cloudy,3.21,6,910,870,47.5,52.5,2219.9,898.9,5.81,-2
2020-01-17,1,Berlin,189,winter,clear,2.61,12,2166,1690,54.1,45.9,21967.7,8607.9,6.75,5
2020-01-17,1,London,186,winter,clear,5.95,25,4541,3731,46.1,53.9,16757.9,6834.7,5.05,-7
2020-01-18,1,Paris,185,winter,cloudy,7.53,37,5211,3916,51.4,48.6,158931.1,63124.3,6.52,-1
2020-01-18,1,Milan,189,winter,heavy rain,8.95,37,1056,735,49.8,50.2,7349.7,2942.4,7.11,3
2020-01-18,1,Madrid,192,winter,light rain,0.75,16,1092,799,51.5,48.5,11115.8,4412.8,6.25,-2
2020-01-18,1,Berlin,189,winter,light rain,-8.36,1,66,52,50.3,49.7,1520.9,607.4,6.12,3
2020-01-18,1,London,186,winter,cloudy,2.62,22,3211,2503,50.7,49.3,12287.8,4899.1,4.98,-7
2020-01-19,1,Paris,191,winter,clear,4.47,11,2003,1407,54.1,45.9,5389.3,2111.5,5.64,6
2020-01-19,1,Milan,197,winter,light rain,-0.46,1,69,58,55.1,44.9,447.1,174.2,6.38,2
2020-01-19,1,Madrid,197,winter,clear,0.31,5,993,864,51.2,48.8,22123.3,8794.2,5.42,-5
2020-01-19,1,Berlin,181,winter,clear,5.27,37,6490,5294,49.9,50.1,8592.6,3438.0,6.42,4
2020-01-19,1,London,199,winter,cloudy,2.42,34,5218,4291,50.2,49.8,175114.2,69973.3,5.88,2
2020-01-20,1,Paris,185,winter,heavy rain,8.71,41,1158,893,46.9,53.1,13956.4,5668.2,5.52,0
2020-01-20,1,Milan,182,winter,clear,9.24,27,4827,4124,50.2,49.8,35306.1,14111.3,5.89,7
2020-01-20,1,Madrid,192,winter,heavy rain,8.22,37,1078,786,46.4,53.6,9131.8,3718.7,6.65,2
2020-01-20,1,Berlin,186,winter,heavy rain,1.13,17,475,412,48.2,51.8,3840.9,1550.4,5.47,6
2020-01-20,1,London,183,winter,light rain,6.31,14,915,775,48.1,51.9,17441.6,7042.4,6.22,-5
2020-01-21,1,Paris,193,winter,clear,9.47,16,3100,2826,45.9,54.1,61245.5,24997.2,6.17,2
2020-01-21,1,Milan,192,winter,cloudy,13.26,27,4037,2975,47.5,52.5,32782.3,13275.6,5.91,1
2020-01-21,1,Madrid,189,winter,clear,12.22,48,8745,6817,52.0,48.0,75287.7,29815.6,6.27,-7
2020-01-21,1,Berlin,189,winter,cloudy,-1.04,1,142,110,47.7,52.3,862.2,348.8,6.22,-6
2020-01-21,1,London,187,winter,light rain,-6.98,1,65,53,48.5,51.5,904.4,364.5,5.95,2
2020-01-22,1,Paris,193,winter,cloudy,5.38,7,1084,900,50.6,49.4,34679.3,13831.8,5.49,-3
2020-01-22,1,Milan,199,winter,clear,2.87,16,3101,2677,47.7,52.3,13068.9,5288.5,6.67,6
2020-01-22,1,Madrid,198,winter,light rain,8.12,17,1185,918,52.5,47.5,28506.8,11263.0,5.55,1
2020-01-22,1,Berlin,189,winter,clear,2.54,1,180,144,49.5,50.5,2688.4,1077.9,6.49,2
2020-01-22,1,London,193,winter,light rain,6.49,23,1596,1225,48.6,51.4,40443.1,16292.8,6.64,-3
2020-01-23,1,Paris,185,winter,cloudy,11.25,28,3960,3466,54.6,45.4,88475.4,34583.3,6.67,4
2020-01-23,1,Milan,193,winter,heavy rain,2.51,20,604,501,49.0,51.0,12424.8,4995.6,5.45,4
2020-01-23,1,Madrid,193,winter,light rain,12.69,32,2238,1781,52.3,47.7,51208.9,20247.5,5.12,3
2020-01-23,1,Berlin,192,winter,light rain,-3.63,1,67,53,51.4,48.6,659.7,262.0,5.68,-3
2020-01-23,1,London,191,winter,clear,10.29,25,4694,4032,47.1,52.9,66104.2,26824.2,6.49,7
2020-01-24,1,Paris,192,winter,light rain,9.04,34,2311,1555,51.6,48.4,55185.4,21894.9,6.94,-4
2020-01-24,1,Milan,194,winter,light rain,15.24,41,2840,2537,52.3,47.7,23167.5,9162.5,6.38,-4
2020-01-24,1,Madrid,192,winter,light rain,3.65,26,1800,1472,48.8,51.2,29217.5,11756.4,6.26,3
2020-01-24,1,Berlin,193,winter,clear,4.8,24,4472,3639,53.8,46.2,94613.7,37125.7,7.53,-4
2020-01-24,1,London,198,winter,cloudy,-0.64,1,148,125,52.4,47.6,2296.5,907.5,5.72,6
2020-01-25,1,Paris,198,winter,light rain,-0.11,6,450,370,48.1,51.9,2299.4,928.5,7.25,-3
2020-01-25,1,Milan,188,winter,cloudy,3.55,15,2125,1898,51.5,48.5,23788.8,9446.0,5.87,3
2020-01-25,1,Madrid,196,winter,cloudy,10.34,47,7048,6017,52.3,47.7,49223.4,19467.8,7.33,6
2020-01-25,1,Berlin,193,winter,light rain,-1.1,8,592,476,50.6,49.4,233.2,93.0,6.58,6
2020-01-25,1,London,190,winter,light rain,4.59,1,66,56,50.5,49.5,827.4,330.1,5.92,5
2020-01-26,1,Paris,187,winter,light rain,11.6,36,2414,1804,47.3,52.7,46117.2,18699.3,5.68,5
2020-01-26,1,Milan,194,winter,heavy rain,-0.24,1,29,23,48.2,51.8,754.7,304.5,6.84,3
2020-01-26,1,Madrid,189,winter,heavy rain,7.13,25,738,623,49.6,50.4,3485.9,1396.8,6.77,4
2020-01-26,1,Berlin,186,winter,clear,4.95,37,6720,5896,48.8,51.2,121406.4,48851.7,6.67,6
2020-01-26,1,London,193,winter,heavy rain,8.76,23,680,548,48.0,52.0,5603.9,2263.8,6.83,6
2020-01-27,1,Paris,190,winter,cloudy,-3.44,1,142,120,50.0,50.0,3994.3,1597.7,5.6,3
2020-01-27,1,Milan,184,winter,clear,17.6,40,7144,5797,52.3,47.7,139609.3,55187.8,4.99,-5
2020-01-27,1,Madrid,194,winter,cloudy,3.27,18,2729,2156,48.1,51.9,17258.8,6970.0,5.7,-6
2020-01-27,1,Berlin,191,winter,clear,-3.01,7,1382,1128,50.7,49.3,9494.8,3785.1,6.2,-3
2020-01-27,1,London,183,winter,light rain,4.62,8,522,458,51.6,48.4,10229.0,4059.8,7.68,-3
2020-01-28,1,Paris,188,winter,cloudy,-0.97,1,141,110,46.8,53.2,1277.2,519.1,6.65,5
2020-01-28,1,Milan,194,winter,clear,14.09,47,8803,7167,52.8,47.2,206464.0,81421.1,6.15,6
2020-01-28,1,Madrid,188,winter,clear,8.14,38,6875,5672,50.8,49.2,127213.6,50681.5,5.44,-3
2020-01-28,1,Berlin,186,winter,cloudy,8.22,26,3762,2668,52.1,47.9,15826.8,6265.0,5.57,4
2020-01-28,1,London,185,winter,cloudy,3.38,9,1339,1090,49.5,50.5,9917.3,3976.5,5.75,6
2020-01-29,1,Paris,184,winter,cloudy,12.5,41,5690,4962,52.5,47.5,42263.3,16697.0,6.67,5
2020-01-29,1,Milan,187,winter,clear,5.7,1,177,151,48.9,51.1,4422.2,1778.7,6.3,4
2020-01-29,1,Madrid,186,winter,cloudy,5.66,3,461,413,50.8,49.2,4526.9,1803.1,5.16,3
2020-01-29,1,Berlin,193,winter,cloudy,8.92,13,1989,1712,49.0,51.0,141.9,57.0,5.1,6
2020-01-29,1,London,187,winter,cloudy,-1.32,1,140,126,51.3,48.7,1124.2,446.7,7.31,5
2020-01-30,1,Paris,192,winter,light rain,6.11,17,1145,906,49.7,50.3,6810.6,2728.9,5.63,1
2020-01-30,1,Milan,182,winter,clear,2.82,18,3132,2556,53.1,46.9,10676.4,4203.3,6.2,-5
2020-01-30,1,Madrid,195,winter,clear,10.73,18,3396,2884,47.0,53.0,93603.4,37995.8,5.29,-3
2020-01-30,1,Berlin,188,winter,cloudy,3.39,5,775,616,47.4,52.6,18417.3,7463.7,6.03,5
2020-01-30,1,London,191,winter,heavy rain,-4.45,1,28,21,46.5,53.5,429.5,174.8,5.97,-3
2020-01-31,1,Paris,194,winter,cloudy,4.72,21,3098,2743,52.2,47.8,5564.3,2201.2,6.27,-7
2020-01-31,1,Milan,184,winter,light rain,1.68,5,359,293,48.9,51.1,3070.1,1234.6,6.22,-4
2020-01-31,1,Madrid,190,winter,clear,4.76,17,3147,2635,48.5,51.5,127237.3,51284.4,4.56,5
2020-01-31,1,Berlin,185,winter,heavy rain,-7.0,1,27,19,55.0,45.0,572.7,223.3,6.27,6
2020-01-31,1,London,188,winter,light rain,-7.23,1,65,51,43.1,56.9,1420.0,587.7,5.86,4
2020-02-01,2,Paris,194,winter,cloudy,5.46,1,146,116,52.5,47.5,2734.8,1080.1,6.51,3
2020-02-01,2,Milan,190,winter,light rain,-0.11,5,357,260,47.7,52.3,8173.1,3306.1,6.54,4
2020-02-01,2,Madrid,195,winter,cloudy,6.9,20,3001,2349,56.4,43.6,30185.2,11686.5,6.35,-2
2020-02-01,2,Berlin,194,winter,clear,3.11,14,2763,2387,50.3,49.7,90816.4,36278.2,6.24,3
2020-02-01,2,London,188,winter,light rain,8.6,19,1282,1014,50.7,49.3,26632.8,10614.4,7.75,-9
2020-02-02,2,Paris,189,winter,clear,0.15,13,2358,2066,52.7,47.3,11352.3,4478.6,7.52,-4
2020-02-02,2,Milan,190,winter,heavy rain,7.56,21,602,506,51.5,48.5,7050.8,2798.6,6.23,-3
2020-02-02,2,Madrid,191,winter,heavy rain,11.66,45,1310,945,52.0,48.0,3479.8,1378.3,5.88,-2
2020-02-02,2,Berlin,186,winter,light rain,9.04,27,1776,1333,51.2,48.8,14776.7,5874.8,6.2,5
2020-02-02,2,London,192,winter,cloudy,-0.07,4,661,542,56.4,43.6,2240.4,867.6,7.16,3
2020-02-03,2,Paris,187,winter,cloudy,7.15,44,6180,4925,50.9,49.1,210082.3,83665.7,6.46,6
2020-02-03,2,Milan,196,winter,light rain,-2.97,6,457,368,55.0,45.0,12816.4,4997.3,5.97,-2
2020-02-03,2,Madrid,190,winter,clear,5.32,10,1829,1568,49.8,50.2,28090.2,11249.6,5.49,5
2020-02-03,2,Berlin,185,winter,light rain,0.37,10,656,507,48.1,51.9,12827.7,5178.8,5.86,4
2020-02-03,2,London,179,winter,light rain,-0.11,9,619,449,50.3,49.7,11296.2,4510.8,6.2,-3
2020-02-04,2,Paris,192,winter,cloudy,1.99,1,144,121,51.1,48.9,1658.7,659.9,5.6,6
2020-02-04,2,Milan,189,winter,light rain,7.22,18,1239,932,54.6,45.4,6578.1,2570.9,6.32,0
2020-02-04,2,Madrid,192,winter,clear,13.53,29,5389,4808,49.9,50.1,121340.5,48560.8,5.99,-6
2020-02-04,2,Berlin,191,winter,light rain,6.57,21,1415,1232,55.1,44.9,12711.9,4954.5,5.22,6
2020-02-04,2,London,191,winter,heavy rain,-5.79,1,28,24,49.8,50.2,178.5,71.5,6.33,-2
2020-02-05,2,Paris,196,winter,clear,11.15,32,6099,4995,54.0,46.0,77644.2,30432.7,5.67,-6
2020-02-05,2,Milan,186,winter,heavy rain,8.89,29,827,615,48.8,51.2,8255.0,3322.5,6.71,-6
2020-02-05,2,Madrid,194,winter,light rain,23.92,73,5022,4099,48.0,52.0,17694.0,7149.8,5.66,-3
2020-02-05,2,Berlin,193,winter,light rain,4.19,21,1457,1142,52.4,47.6,18617.7,7356.0,5.43,4
2020-02-05,2,London,191,winter,cloudy,1.88,1,143,116,54.3,45.7,2221.5,869.6,6.11,-7
2020-02-06,2,Paris,189,winter,light rain,-0.69,3,206,166,52.2,47.8,2645.4,1046.6,7.07,5
2020-02-06,2,Milan,181,winter,clear,7.62,37,6459,5010,47.7,52.3,99272.9,40161.2,6.4,4
2020-02-06,2,Madrid,190,winter,clear,11.0,38,7022,5644,53.9,46.1,65012.8,25495.9,6.28,2
2020-02-06,2,Berlin,182,winter,light rain,1.53,16,1048,793,53.9,46.1,3045.1,1194.1,4.07,4
2020-02-06,2,London,189,winter,light rain,9.62,37,2500,2036,52.3,47.7,19621.5,7756.5,6.05,-4
2020-02-07,2,Paris,191,winter,clear,2.48,7,1357,1053,49.5,50.5,28460.3,11415.2,6.76,-8
2020-02-07,2,Milan,188,winter,clear,2.17,1,178,138,49.4,50.6,1361.7,546.4,6.45,-4
2020-02-07,2,Madrid,195,winter,clear,10.91,38,7227,5954,56.6,43.4,233060.5,90151.7,5.75,10
2020-02-07,2,Berlin,194,winter,heavy rain,-0.92,7,214,154,48.4,51.6,1898.3,765.2,5.68,6
2020-02-07,2,London,189,winter,cloudy,3.44,12,1807,1598,49.5,50.5,16122.0,6464.1,5.37,4
2020-02-08,2,Paris,190,winter,light rain,-0.17,1,66,49,52.9,47.1,619.1,244.0,7.5,3
2020-02-08,2,Milan,186,winter,light rain,9.31,3,216,185,48.9,51.1,6016.8,2420.4,6.44,4
2020-02-08,2,Madrid,189,winter,light rain,9.34,45,3017,2248,45.8,54.2,51085.3,20859.8,6.56,6
2020-02-08,2,Berlin,198,winter,clear,-2.37,1,188,139,49.9,50.1,2259.1,904.1,6.39,5
2020-02-08,2,London,190,winter,cloudy,-4.82,1,143,113,47.3,52.7,1160.8,470.5,5.63,-5
2020-02-09,2,Paris,190,winter,light rain,1.87,3,238,199,50.6,49.4,3307.3,1319.2,6.81,3
2020-02-09,2,Milan,184,winter,light rain,5.01,28,1813,1473,49.9,50.1,56474.8,22606.7,6.92,-1
2020-02-09,2,Madrid,186,winter,cloudy,11.74,52,7309,5867,56.7,43.3,53992.2,20874.4,6.5,2
2020-02-09,2,Berlin,186,winter,cloudy,-3.56,2,374,296,52.8,47.2,6653.8,2624.1,5.73,1
2020-02-09,2,London,191,winter,light rain,-9.32,1,66,51,50.6,49.4,853.7,340.5,5.89,-6
2020-02-10,2,Paris,187,winter,cloudy,-1.94,1,140,98,49.5,50.5,2208.0,885.2,5.76,8
2020-02-10,2,Milan,190,winter,light rain,8.49,19,1325,1028,54.4,45.6,25266.1,9881.8,6.27,4
2020-02-10,2,Madrid,189,winter,cloudy,16.99,30,4302,3066,53.6,46.4,74285.2,29175.6,5.9,-3
2020-02-10,2,Berlin,194,winter,light rain,-2.07,1,68,60,48.6,51.4,2757.2,1110.4,6.37,2
2020-02-10,2,London,194,winter,light rain,-1.74,1,83,64,46.7,53.3,950.1,386.3,6.33,-4
2020-02-11,2,Paris,195,winter,light rain,4.87,18,1259,1012,53.6,46.4,6065.7,2382.1,6.65,-2
2020-02-11,2,Milan,195,winter,clear,9.56,30,5691,4536,49.3,50.7,22619.8,9079.3,6.29,9
2020-02-11,2,Madrid,183,winter,clear,16.2,57,9984,7689,51.5,48.5,73825.9,29314.8,6.21,7
2020-02-11,2,Berlin,196,winter,light rain,2.93,2,202,162,52.4,47.6,2259.1,892.9,6.38,5
2020-02-11,2,London,185,winter,clear,4.0,9,1700,1281,50.4,49.6,37345.2,14910.5,5.77,3
2020-02-12,2,Paris,196,winter,clear,-1.11,21,4024,3214,47.6,52.4,76538.9,30988.8,6.27,3
2020-02-12,2,Milan,196,winter,heavy rain,4.87,17,527,403,57.0,43.0,6206.9,2395.9,7.42,3
2020-02-12,2,Madrid,192,winter,heavy rain,5.12,34,1005,784,49.5,50.5,58.2,23.3,5.99,7
2020-02-12,2,Berlin,190,winter,heavy rain,-2.97,1,28,24,49.2,50.8,446.9,179.5,6.02,4
2020-02-12,2,London,194,winter,light rain,-0.89,1,68,58,54.9,45.1,903.5,352.6,7.81,4
2020-02-13,2,Paris,195,winter,clear,10.86,34,6403,5420,53.4,46.6,45015.0,17696.1,5.7,7
2020-02-13,2,Milan,190,winter,light rain,5.61,16,1103,826,51.4,48.6,9294.5,3691.2,6.67,8
2020-02-13,2,Madrid,188,winter,light rain,14.81,40,2633,2195,51.0,49.0,1641.4,653.2,7.17,0
2020-02-13,2,Berlin,180,winter,heavy rain,2.6,22,620,460,52.8,47.2,18523.5,7306.9,5.94,-8
2020-02-13,2,London,184,winter,cloudy,-1.73,9,1336,1059,50.4,49.6,35450.9,14149.6,7.07,1
2020-02-14,2,Paris,195,winter,clear,8.29,43,8069,7164,51.3,48.7,118154.4,46954.5,6.56,7
2020-02-14,2,Milan,198,winter,clear,2.0,19,3733,2559,53.6,46.4,49443.8,19421.9,6.33,5
2020-02-14,2,Madrid,185,winter,clear,12.72,25,4442,3648,53.2,46.8,144987.9,57055.6,5.55,3
2020-02-14,2,Berlin,186,winter,cloudy,-4.35,10,1477,1242,51.0,49.0,14396.3,5729.4,5.39,7
2020-02-14,2,London,197,winter,light rain,5.88,22,1583,1108,51.0,49.0,23286.5,9268.5,7.22,2
2020-02-15,2,Paris,189,winter,cloudy,-2.92,2,417,319,54.0,46.0,8735.8,3423.9,6.05,6
2020-02-15,2,Milan,179,winter,clear,10.5,46,7987,5592,54.0,46.0,237403.4,93063.6,5.58,-8
2020-02-15,2,Madrid,188,winter,clear,6.58,26,4659,3467,49.7,50.3,349.7,140.1,6.72,5
2020-02-15,2,Berlin,188,winter,cloudy,-0.36,1,141,114,51.2,48.8,2301.1,915.0,6.42,7
2020-02-15,2,London,185,winter,light rain,-9.43,1,64,50,47.4,52.6,392.9,159.2,6.84,3
2020-02-16,2,Paris,198,winter,light rain,14.7,37,2579,1927,58.1,41.9,67988.9,26089.9,6.43,3
2020-02-16,2,Milan,187,winter,light rain,11.58,42,2789,2109,49.1,50.9,83675.4,33624.6,6.08,7
2020-02-16,2,Madrid,185,winter,heavy rain,16.45,61,1716,1266,53.5,46.5,22406.6,8805.6,5.62,2
2020-02-16,2,Berlin,192,winter,light rain,0.81,12,843,665,51.8,48.2,23850.6,9455.2,7.24,5
2020-02-16,2,London,196,winter,light rain,5.5,16,1125,869,51.7,48.3,23254.1,9224.3,7.14,-3
2020-02-17,2,Paris,189,winter,cloudy,0.92,12,1757,1307,52.1,47.9,33480.8,13251.7,5.92,4
2020-02-17,2,Milan,183,winter,cloudy,10.16,35,4947,4295,53.2,46.8,135203.1,53216.9,6.47,7
2020-02-17,2,Madrid,188,winter,light rain,16.63,52,3443,2852,53.2,46.8,56276.2,22148.5,6.44,3
2020-02-17,2,Berlin,186,winter,cloudy,8.07,31,4405,3520,51.9,48.1,75129.1,29773.4,5.73,4
